"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"GREENHILLS BAKERY","QUINN DERMOT TS","DERMOT QUINN PRES."," ",21045,"2012-02-01 13:02:02","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-12,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-05-12 11:22:37","Fail","","Soiled wiping cloths observed on counter tops. Discontinue and provide a proper sanitizing solution.","780   Adams ST","Dorchester","MA",2122,967,42.28327,-71.05557,1
"Greystone Cafe  Bakery  and Provisions","","Gannon","Patty and Jacqueline",425223,"2020-09-18 15:33:20","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-01,"590.004/4-601.11-PF","**","(A) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils (Pf)","2022-03-01 10:49:19","Fail","","Observed soils on interior of ice machine.  Clean to remove soils.","123   Appleton ST","Boston","MA",2116,155986,42.345292,-71.07463,1
"Grezzo Restaurant","TRAINOR STEVEN R TS","Cohen Pres.","Alissa",28988,"2011-04-20 12:02:47","2010-12-31 00:00:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","67A   Prince ST","Boston","MA",2113,112994,42.36522,-71.05526,1
"GRIDDLER'S BURGERS & DOGS","ATRIA SALVATORE","BNV II Inc."," ",32186,"2011-12-30 15:12:46","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","204   Cambridge ST","Boston","MA",2114,25253,42.36096,-71.06586,1
"GRILL 23 AND BAR","","SBH CORP."," ",19805,"2011-12-29 12:43:20","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-26,"590.003/3-203.12-PF","**","Shell stock  Maintaining Identification (Pf)","2022-10-26 17:36:39","Fail","","Shell tags missing last sold/served datemarkings.Maintain shell stock tags stored in chronological order with date of last sold/served held for 90 days","161  Berkeley St","Boston","MA",2116,158191,42.349397,-71.071858,1
"GROTTO","COMMONWEALTH LAND TRUST INC","HERRITT","SCOTT",22698,"2012-01-03 13:47:26","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","37   Bowdoin ST","Boston","MA",2114,17611,42.35991,-71.063085,1
"Grove Hall Pizza","SIX-51-663 WARREN ST LLC","Peter Kourtoulidis"," ",67556,"2012-02-15 13:43:59","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","651   Warren ST","Dorchester","MA",2121,143328,42.309756,-71.083018,1
"GRUB","IQBAL KHAN KWIK - E","Doyne","Dermot",308603,"2016-12-27 14:56:54","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","738   Huntington AVE","Mission Hill","MA",2115,156026,42.333711,-71.105368,1
"Gryo Lakay","SUZE AUGUSTE","Romel Brutus"," ",75723,"2012-05-14 10:38:37","2011-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","604   Blue Hill AVE","Dorchester","MA",2121,157780,42.303728,-71.084728,1
"Guckenheimer @ B.R.E. @ Blue Glass Cafe","ONE HUNDRED & 200 CLARENDON","Guckenheimer Services LLC","Attn: Tax Department",22383,"2012-01-10 12:41:15","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_Fail",2022-01-03,"590.003/3-602.11-PF","**","Food Labels (Pf)","2022-01-03 11:47:35","Fail","","Observed one grab and go salad with no labeling.  Person in charge removed.","200   Clarendon ST","Boston","MA",2116,33209,42.34921,-71.07513,1
"Guckenheimer @ Berkeley Cafe","GUCKENHEIMER ENT. INC. RICHARD YARSHEN","Guckenheimer Services LLC","Attn: Tax Department",22511,"2012-01-25 13:45:23","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","200   Berkeley ST","Boston","MA",2116,156187,42.35006,-71.072919,1
"Guckenheimer @ Spotify Boston- Cafe","CENTER PLAZA ASSOC MASS LPS","Dudley","John",410899,"2019-10-04 15:42:14","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","3  Center PZ","Boston","MA",2108,154961,42.35918,-71.06004,1
"Guira and Tambora Restaurant","MARGULIES JEFFREY","Felipe Duran"," ",32904,"2011-12-01 09:00:43","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-11,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-07-11 12:51:58","Fail","","Bulk food containers will need to be labeled as discissed in basement and cooking area.","4014   Washington ST","Roslindale","MA",2131,145066,42.291827,-71.122157,1
"Guru The Caterer","","Guru The Caterer Inc."," ",37251,"2012-04-02 12:48:26","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","185   Devonshire ST","Boston","MA",2110,158856,42.355943,-71.057564,1
"Guy Fieri's Tequilla Cocina","  ","Big Causeway LLC","Randy Greenstein",377683,"2019-10-30 09:38:07","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","100  Causeway ST","Boston","MA",2114,162913,42.365215,-71.061165,1
"Gyro City","  ","Dionisia Inc."," ",126802,"2014-03-17 07:57:35","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","84   Peterborough ST","Boston","MA",2115,168718,42.343077,-71.09911,1
"Gyroscope/Sprout/Bos Hse of Pizza","","ABM Partners Inc.","Bruce Sabokroon  Pres.",364982,"2020-12-28 13:59:08","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-27,"590.003/3-501.16-P","***","(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding (P)","2022-01-27 11:46:04","Fail","","Hummus cooked shrimp Sweet potato's reading 50-53F for 30 min per PIC.Maintain cold holding 41F or below. PIC remove to cool/hold 41F or below Discussed cooling procedures with the PIC","305   Huntington AVE","Boston","MA",2115,76353,42.341274,-71.087336,1
"Hale & Hearty","NEW ENGLAND TEL * TEL CO","Franklin St. Soups LLC","Harry Rosenfeld  CFO",130218,"2015-03-13 12:27:39","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","185   Franklin ST","Boston","MA",2110,60662,42.3554,-71.05482,1
"HABANERO MEXICAN GRILL  INC.","KARAKITSOS GEORGE","Sabokroon","Bruce M.",130004,"2014-08-07 09:48:44","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-17,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-05-17 10:49:36","Fail","","Some of bulk food containers without proper labels. Provide.","166   Brighton AVE","Allston","MA",2134,156279,42.352901,-71.13284,1
"Habibi's Lounge","TALE CONSTANTINE G","Daoud Tayeh"," ",31949,"2011-12-29 10:47:58","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1213   Commonwealth AVE","Allston","MA",2134,37122,42.35081,-71.130724,1
"Habitat for Humanity Restore","MIERS DIANE M","Habitat for Humanity","Paul Decoulos",116192,"2013-09-25 11:23:54","2014-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1580   VFW PKWY","West Roxbury","MA",2132,140322,42.26703,-71.1675,1
"Hafun Cafe","SARGENT PRINCE LP","Abdulkadir Y. Hussein"," ",75119,"2012-03-07 12:47:03","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","37  Roxbury ST","Roxbury","MA",2119,119182,42.329699,-71.085422,1
"HAINAN SUN","CCBA TAI TUNG MNGMNT INC","ZHONG","KEITH",24717,"2012-01-17 16:18:42","2015-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","210   Harrison AVE","Boston","MA",2111,69811,42.34794,-71.06221,1
"Haju Kitchen","DAVOS X YIANNIS TS","Jung","Ji Sook",348049,"2018-03-14 15:27:22","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-10,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-03-10 13:10:12","Fail","","Provide labels on all bulk storage containers.","175   Massachusetts AVE","Boston","MA",2115,91979,42.34583,-71.08737,1
"Halal Indian Cuisine","","Adhikari","Lokesh",342107,"2017-08-17 09:27:30","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-29,"590.002/2-402.11-C","*","Effectiveness-Hair Restraints (C)","2022-03-29 13:43:48","Fail","","Ensure all food handlers are wearing proper hair restraints when working with food","736   Huntington AVE","Mission Hill","MA",2115,156373,42.333739,-71.10529,1
"haley henry wine bar","","fortier","haley",159572,"2016-08-02 08:37:23","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","45  Province ST","Boston","MA",2108,156036,42.357037,-71.06017,1
"HALEY HOUSE BAKERY CAFE","MAYO FIVE LLC","Haley House Bakery Cafe","Bing Broderick",23964,"2012-01-04 19:18:30","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","12  Dade ST","Roxbury","MA",2119,45601,42.33201,-71.08248,1
"Haley Janes","","Haley Janes LLC","Att: Accounts Payable",413550,"2020-03-11 10:57:37","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-17,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-03-17 12:42:43","Fail","","keep all wiping c;oths in a sanitizing soljution when not in use.","100  High ST","Boston","MA",2110,342934,42.354448,-71.05536,1
"Hall","GRIESINGER PAUL E TS","Hall Environments Inc.","Att: Albert Nichols",331354,"2017-08-23 10:02:07","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","284  Newbury ST","Boston","MA",2115,101518,42.34894,-71.08424,1
"HAMERSLEY'S BISTRO","","GORDON HAMERSLEY"," ",19751,"2011-12-29 13:41:18","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","553  Tremont ST","Boston","MA",2116,155863,42.344321,-71.07184,1
"Hampshire House Butcher Block","KERSHAW THOMAS A","KERSHAW","THOMAS A",18057,"2012-01-24 12:49:30","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-03,"590.003/3-305.14-C","*","Food Preparation (C)","2022-02-03 12:57:32","Fail","","Steps in kichen are not enclosed on the side of the hand sink and food prep/storage (Steps leading to storage room)","84   Beacon ST","Boston","MA",2108,155676,42.355981,-71.071299,1
"HAMPTON INN & SUITES BOSTON","CROSSTOWN CENTER HOTELL LLC","CROSSTOWN CENTER HOTEL L L C"," ",23232,"2011-12-16 10:38:40","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-27,"L1","-","","2022-01-27 11:00:43","Fail","","Post the current health permit for the food establishment in a conspicuous place for consumers.","811  Massachusetts AVE","Roxbury","MA",2119,92656,42.33227,-71.074,1
"HAN","","186 Harvard Ave Bar LLC","Henry Wong",481833,"2022-06-10 11:27:01","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-06-10,"","",""," ","",""," ","186   Harvard AVE","Allston","MA",2134,157212,42.351002,-71.131101,1
"Hana Market","HILLIARD DARRYL TS","Kayali","Menir",140664,"2015-08-21 14:30:07","2017-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","3   Washington ST","Dorchester","MA",2121,146019,42.30798,-71.08303,1
"Hancock Market","","Aftab Uddin","Mohammed",457652,"2021-08-12 08:52:40","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-03-07,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-03-07 12:44:19","Fail","","Product (soda) must be store off the floor.","95   Hancock ST","Dorchester","MA",2125,156270,42.312434,-71.064499,1
"Hancock Street Market","","Monterio","Charline",97918,"2013-08-16 09:40:05","2021-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","95   Hancock ST","Dorchester","MA",2125,156270,42.312434,-71.064499,1
"Handy's Cafe","","Handy's Cafe Inc.","Jonathan Handy",335087,"2017-05-30 15:46:12","2019-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","554  Columbia Rd","Dorchester","MA",2125,156099,42.31631,-71.06628,1
"Happy 99 Cent","KRASNER MATTAPAN ASSOCIATES","Dai","Hu Lei",27410,"2010-10-18 08:38:53"," ","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1602   Blue Hill AVE","Mattapan","MA",2126,16334,42.269078,-71.093347,1
"Happy Garden","","Boston Starlight Inc.","Bing Liang Zheng",336763,"2017-07-10 12:17:11","2021-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","377   Washington ST","Brighton","MA",2135,156389,42.349291,-71.15428,1
"Happy Lemon","INTERRANTE DONALD TRSTS","Nascence Inc.","Xiqiao Liu",479331,"2022-09-16 09:01:56","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Filed",2022-09-15,"590.005/5-501.16-C","*","Storage Areas  Rooms and Receptacles  Capacity and Availability (C)","2022-09-15 15:08:00","Fail","","Ensure to have an available trash receptacle in the restroom for feminine hygienic waste","3193  Washington ST","Jamaica Plain","MA",2130,144654,42.312779,-71.10151,1
"HAPPY LIQUORS INC. II","PRIMPAS LOUIS V TRSTS","FERNANDEZ","FRANCISCO",25074,"2012-01-17 16:28:16","2019-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1633   Blue Hill AV","Mattapan","MA",2126,16340,42.26827,-71.09413,1
"Happy Super Mart","STAMATOS JAMES C","Khan Mohiuddin"," ",76750,"2012-01-10 14:01:52","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-04-11,"590.004/4-101.11-C","*","Characteristics-Materials for Construction and Repair (C)","2022-04-11 15:00:28","Fail","","Remove cardboard and newspaper used as liner from food storage shelving near produce and provide food service commercial grade liners.","122   Seaver ST","Dorchester","MA",2121,124142,42.30992,-71.09152,1
"Harbor Life Cafe","LINDA EDWARD H TRSTS","MARRIOTT INTERNATIONAL","Attn: Accounting",22685,"2012-02-28 13:03:26","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-20,"590.003/3-602.11-PF","**","Food Labels (Pf)","2022-04-20 11:40:29","Fail","","Fruit Cups and parfaits in grab & Go case without labels  Supply","296  State ST","Boston","MA",2110,130424,42.36012,-71.05091,1
"Harborside Cafe","BETTANO TERRI","Nexdine L L C"," ",91998,"2013-07-16 09:23:44","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1   Harborside DR","East Boston","MA",2128,155970,42.363408,-71.025698,1
"Harborview Cafe","NEW ENGLAND AQUARIUM","Patina Marine Life LLC","Att: Accounts Payable",381913,"2019-01-15 08:04:33","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-22,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-08-22 11:44:12","Fail","","keep all wiping cloths in a sanitizing solution.","250  Atlantic AVE","Boston","MA",2110,158389,42.356944,-71.050388,1
"Hard Rock Cafe","SULLIVAN JAMES F TRST","Hard Rock Cafe International","(STP)  Inc.",27086,"2012-01-12 11:53:45","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","20   Clinton ST","Boston","MA",2109,34045,42.36088,-71.05498,1
"Harp & Bard","GALVIN","MICHAEL J. GALVIN"," ",18414,"2012-02-15 13:41:03","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-24,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-02-24 12:22:40","Fail","","Discontinue to store tongs on oven door handles. PIC removed.","1097   Dorchester AVE","Dorchester","MA",2125,156428,42.313066,-71.057429,1
"Harpoon","","Premair of Boston","Juan Barcia",483984,"2022-08-23 08:13:43","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-08-22,"","",""," ","",""," ","100   Terminal RD","East Boston","MA",2128,341357,42.364539,-71.021817,1
"Harpoon Brewery Beer Hall","ZANTI","MBBC INC.","Att: Felicia Ruano",79244,"2013-02-01 08:49:49","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-07-22,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-07-22 14:01:27","Fail","","Out of use refrigerator in back area. Ample alternative means for refrigeration holding at below 41F. New unit on order.","306   Northern AVE","Boston","MA",2210,156978,42.346919,-71.034157,1
"HARRY O'S","CATHERINE BAHAM-XESTERNOS PRESIDENT","CATHERINE BAHAM-XESTERNOS","PRESIDENT",20032,"2011-12-05 11:46:24","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1405   Washington ST","Roxbury","MA",2118,158050,42.341269,-71.070341,1
"Harry's All American Breakfast","KELLEHER JOHN G TRST","Ronald Foley"," ",75857,"2011-12-14 15:20:37","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1410   Centre ST","Roslindale","MA",2131,27568,42.293937,-71.13618,1
"Harry's Bar & Grill","COMMONWEALTH PARK CONDO","BACON","DOUGLAS F.",28451,"2011-12-15 10:27:39","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","1430   Commonwealth AVE","Allston","MA",2135,157791,42.349163,-71.139591,1
"HARRY'S COLD CUT CENTER","","ROY FOURNIER"," ",22372,"2012-01-13 11:49:43","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","98   Blackstone ST","Boston","MA",2109,156171,42.361523,-71.056428,1
"HARVARD BUS./ALDRICH HALL","RESTAURANT ASSOCIATES","RESTAURANT ASSOCIATES"," ",24027,"2012-02-15 13:57:39","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","35   Harvard WAY","Boston","MA",2163,156898,42.365895,-71.12208,1
"HARVARD BUS./BAKER FACULTY","RESTAURANT ASSOCIATES","RESTAURANT ASSOCIATES"," ",24025,"2012-02-15 13:57:12","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-09-12,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-09-12 12:32:07","Fail","","Foods recieved outside requirement at the location Priority violations noted on inspection report Review procedures with staff and properly monitor receiving temperatures at location","25  Harvard WAY","Boston","MA",2163,157094,42.366436,-71.122758,1
"HARVARD BUSINESS SCHOOL CAFETE","RESTAURANT ASSOC. CORP.","Harvard Business School","Restaurant Associates",21348,"2012-02-07 08:33:40","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_Filed",2022-01-13,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-01-13 11:31:39","Fail","","Rinse guage on high temperature dish machine in finishing kitchen not properly working. Temperature strip was run through the machine and indicated proper rinse temperatures. Provide documentation to the Health DEpartment for repair Kitchen not in use at the time of the inspection","230   Western AVE","Allston","MA",2134,156674,42.362965,-71.131863,1
"Harvard Convenience","","Hareshkumar","Patel",447430,"2021-04-29 14:12:12","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Filed",2022-07-21,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-07-21 11:01:12","Fail","","Toilet hand sink soiled. Clean properly.","157   Brighton AVE","Allston","MA",2134,156351,42.353256,-71.132309,1
"HARVARD COOP/BUSINESS SCHOOL","BARNES & NOBLE BOOKSTORE/","BARNES & NOBLE BOOKSTORE/","COLLEGE DIV.",21758,"2011-12-29 14:18:02","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","117   Western AVE","Boston","MA",2135,156711,42.365174,-71.122227,1
"Harvard Gardens","COULOURAS LOUIS","c/o Lyons Group"," ",30610,"2011-12-13 10:13:13","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-20,"590.004/4-501.114-PF","**","Manual and Mechanical Warewashing Equipment  Chemical Sanitization-Temperature  pH  Concentration and Hardness (Pf)","2022-07-20 12:25:11","Fail","","Low temp dish machines Kitchen/bar not reading chlorine sanitizer.Repair. Maintain sanitizer 50PPM or per manufacture instructions Repair is on the way per PIC PIC to utilize 3 bay sinks until repairs are complete","310   Cambridge ST","Boston","MA",2114,25286,42.36093,-71.06901,1
"HARVARD GARDENS","COULOURAS LOUIS","COULOURAS","GEORGE",18239,"2008-08-13 14:42:18","2008-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","310   Cambridge ST","Boston","MA",2114,25286,42.36093,-71.06901,1
"Harvard Street Community Market","ABREAU LUIS A","SALEHA","AKHTAR RANGA",24722,"2011-12-19 09:00:01","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-01-28,"590.003/3-302.11-C","*","Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C)","2022-01-28 15:42:36","Fail","","Eggs stored over juiced  store properly.","53   Harvard ST","Dorchester","MA",2121,70902,42.29795,-71.07618,1
"Harvest Cooperative Supermarket","RUSK DEAN TS","HARVEST COOPERATIVE SUPER","MARKET",31808,"2011-12-21 12:24:28","2011-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","57   South ST","Jamaica Plain","MA",2130,128854,42.30783,-71.11579,1
"Hava (basement at Wilbur Theatre)","WILBUR THEATRE VENDORS IN C.","Paige Hospitality","Felix Paige",74267,"2011-12-07 09:40:25","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","246   Tremont ST","Boston","MA",2116,157495,42.350688,-71.064668,1
"HAYMARKET INTERNATIONAL FOOD","CONCORD ASSOCIATES LP","MAHER MARHAMO","COLD SANDWICHES ONLY",22768,"2008-05-09 14:50:46","2008-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","88   Blackstone ST","Boston","MA",2109,15798,42.36142,-71.05631,1
"Healthworks Fitness","FOUR 41 STUART ST ASSOC LLC","Back Bay Spas Inc.","Att: Accounts Payable",383289,"2019-01-31 07:41:54","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_Filed",2022-03-18,"L1","-","","2022-03-18 11:27:22","Fail","","Post 2022 permit","441   Stuart ST","Boston","MA",2116,131663,42.348624,-71.075972,1
"Healthy Blends","BOSTON UNIVERSITY TRSTS","Trustees of Boston University","Director of Safety & Sanitation",83792,"2013-03-25 14:39:48","2021-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","700   Commonwealth AVE","Boston","MA",2115,41232,42.34936,-71.10402,1
"HEBREW REHAB CENTER","HEBREW REHABILITATION CNTR","HEBREW REHAB CENTER"," ",24072,"2012-01-26 12:50:15","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-27,"590.003/3-602.11-PF","**","Food Labels (Pf)","2022-07-27 12:16:02","Fail","","The cafeteria items are all prepackaged and the labels have the ingredients but are missing sub-ingredients and allergen warnings.  Provide complete labels for all packaged items.","1200   Centre ST","Roslindale","MA",2131,27533,42.296681,-71.130733,1
"Hebrew Rehab Center 6th. Fl.","HEBREW REHABILITATION CNTR","Hebrew Rehabilitation Center","Att: Acc. Payable",433767,"2021-04-06 11:04:24","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-07-27,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-07-27 12:12:00","Fail","","The hood vents in the 6th floor kitchen are due for a cleaning.  Have the hood vents cleaned by a licensed company.","1200   Centre ST","Roslindale","MA",2131,27533,42.296681,-71.130733,1
"HEI LA MOON","CHIN LAURA J.","CHIN","LAURA J.",23720,"2011-12-09 09:34:55","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","88   Beach ST","Boston","MA",2111,156305,42.351328,-71.059821,1
"Hei La Moon Restaurant","CHIN LAURA J.","88 Beach L L C"," ",129343,"2014-07-16 08:26:27","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_FailExt",2022-01-05,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-01-05 11:49:32","Pass","2022-01-05 16:03:03","Knives observed being stored in between deli style coolers. Discontinue and store all knives in a clean and protected manner.","88   Beach ST","Boston","MA",2111,156305,42.351328,-71.059821,1
"Heidi's House of Coffee","CVS.LIC. DEPT./T.FLUETTE","Callinan","Heidi",447726,"2021-06-01 08:10:43","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-01-11,"","",""," ","",""," ","350  Longwood AVE","Boston","MA",2115,156578,42.339072,-71.108098,1
"Hello Yummy","PETER LUU  PRES.","Hello Yummy LLC","Kui Sun",511169,"2022-10-31 12:23:49","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-10-27,"","",""," ","",""," ","1   Brighton AVE","Allston","MA",2134,157732,42.352411,-71.125329,1
"Hemenway Variety","PARKSIDE TOWER LLC","Satya Swami Inc."," ",29487,"2012-01-04 18:34:47","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-01-05,"590.004/4-601.11-C","*","(B) and (C) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils (C)","2022-01-05 11:11:32","Fail","","Clean shelving units in the upper storage & packaged chip/snack location to remove evidence of rodent droppings.  PIC to check disposition of of items on the shelving units & remove any damaged items No damaged items observed at the time of inspection.","91   Westland AVE","Boston","MA",2115,148513,42.34415,-71.08957,1
"Hen Chicken Rice","DONOGHUE KEVIN F","Jiaru Li","Warit Viriyaudomchart",457212,"2022-02-22 13:14:03","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-14,"590.004/4-302.14-PF","**","Sanitizing Solutions  Testing Devices (Pf)","2022-02-14 11:13:30","Fail","","Provide a test kit for mesuring the sanitizer at the 3 bay sink.","190   High ST","Boston","MA",2110,73286,42.35672,-71.05226,1
"Hen House","","Amanda Velasquez"," ",78352,"2012-04-27 13:16:42","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","1033   Massachusetts AVE","Roxbury","MA",2118,91941,42.32709,-71.06764,1
